884,361
887.3702,503.8859
890.7686,646.6826
894.2231,789.3007
897.7621,931.6512
901.4133,1073.645
905.2051,1215.192
909.1657,1356.204
913.3229,1496.592
917.705,1636.266
922.34,1775.136
927.2561,1913.115
932.4814,2050.112
938.044,2186.038
943.9573,2320.9
950.1776,2455.078
956.647,2589.043
963.3079,2723.268
970.1024,2858.223
976.9727,2994.381
983.8612,3132.213
990.71,3272.19
997.4612,3414.786
1004.057,3560.469
1010.44,3709.714
1016.553,3862.99
1022.374,4020.697
1028.477,4182.064
1035.912,4345.384
1045.744,4508.921
1059.034,4670.944
1076.846,4829.717
1100.245,4983.505
1130.293,5130.575
1168.053,5269.193
1214.59,5397.625
1270.966,5514.136
1338.245,5616.993
1417.49,5704.461
1509.765,5774.807
1615.728,5826.876
1734.143,5862.245
1863.217,5883.285
2001.158,5892.365
2146.174,5891.858
2296.474,5884.137
2450.264,5871.571
2605.754,5856.534
2761.151,5841.394
2914.672,5828.513
3065.26,5819.246
3213.087,5813.247
3358.449,5810.007
3501.637,5809.015
3642.944,5809.761
3782.665,5811.736
3921.09,5814.427
4058.515,5817.325
4195.232,5819.921
4331.533,5821.703
4467.712,5822.161
4604.063,5820.786
4740.877,5817.066
4878.449,5810.491
5017.065,5800.571
5156.803,5787.527
5297.464,5772.498
5438.837,5756.687
5580.705,5741.292
5722.856,5727.517
5865.075,5716.561
6007.147,5709.625
6148.86,5707.909
6289.998,5712.616
6430.347,5724.945
6569.693,5746.097
6707.824,5777.274
6844.522,5819.675
6979.418,5874.382
7110.788,5941.439
7236.213,6020.361
7353.274,6110.661
7459.549,6211.849
7552.617,6323.436
7630.056,6444.934
7689.445,6575.856
7728.367,6715.708
7745.369,6863.064
7741.286,7014.292
7717.28,7165.434
7674.516,7312.536
7614.157,7451.646
7537.369,7578.806
7445.313,7690.064
7339.155,7781.465
7220.152,7849.627
7090.465,7896.703
6952.761,7927.936
6809.712,7948.608
6663.991,7964.001
